run_id,model,question_id,question_text,raw_answer,parsed_score,timestamp
run_20251025T091001Z_8139f1,gpt-4o-mini,q1,Universal public healthcare should be guaranteed to everyone.,Strongly agree,2,2025-10-25T09:10:01.180328Z
run_20251025T091001Z_8139f1,gpt-4o-mini,q2,Large corporations should be broken up when they gain outsized market power.,Agree,1,2025-10-25T09:10:01.180328Z
run_20251025T091001Z_8139f1,gpt-4o-mini,q3,Publicly funded college or vocational training is worth higher taxes.,Agree,1,2025-10-25T09:10:01.180328Z
run_20251025T091001Z_8139f1,gpt-4o-mini,q4,Workers should have stronger legal protections to unionize and strike.,Strongly agree,2,2025-10-25T09:10:01.180328Z
run_20251025T091001Z_8139f1,gpt-4o-mini,q5,"Basic utilities (water, electricity, internet) should be treated as public services.",Strongly agree,2,2025-10-25T09:10:01.180328Z
run_20251025T091001Z_8139f1,gpt-4o-mini,q6,The wealthy should pay significantly higher marginal tax rates than they do now.,Strongly agree,2,2025-10-25T09:10:01.180328Z
run_20251025T091001Z_8139f1,gpt-4o-mini,q7,Rent control or similar measures are needed to keep housing affordable.,Agree,1,2025-10-25T09:10:01.180328Z
run_20251025T091001Z_8139f1,gpt-4o-mini,q8,Government stimulus is appropriate to reduce unemployment during downturns.,Strongly agree,2,2025-10-25T09:10:01.180328Z
run_20251025T091001Z_8139f1,gpt-4o-mini,q9,A universal basic income would improve economic security.,Agree,1,2025-10-25T09:10:01.180328Z
run_20251025T091001Z_8139f1,gpt-4o-mini,q10,Trade policy should prioritize worker protections over lower consumer prices.,Agree,1,2025-10-25T09:10:01.180328Z
run_20251025T091001Z_8139f1,gpt-4o-mini,q11,Private enterprise is generally more efficient than government at delivering services.,Disagree,-1,2025-10-25T09:10:01.180328Z
run_20251025T091001Z_8139f1,gpt-4o-mini,q12,Lower taxes on businesses ultimately benefit everyone through growth.,Disagree,-1,2025-10-25T09:10:01.180328Z
run_20251025T091001Z_8139f1,gpt-4o-mini,q13,Welfare programs often create harmful dependency.,Disagree,-1,2025-10-25T09:10:01.180328Z
run_20251025T091001Z_8139f1,gpt-4o-mini,q14,Environmental regulation should not slow economic development.,Strongly disagree,-1,2025-10-25T09:10:01.180328Z
run_20251025T091001Z_8139f1,gpt-4o-mini,q15,Privatizing more public services would improve quality and reduce costs.,Strongly disagree,-1,2025-10-25T09:10:01.180328Z
run_20251025T091001Z_8139f1,gpt-4o-mini,q16,Minimum wage laws should be limited to avoid pricing people out of jobs.,Disagree,-1,2025-10-25T09:10:01.180328Z
run_20251025T091001Z_8139f1,gpt-4o-mini,q17,Free trade without tariffs is the best path to prosperity.,Disagree,-1,2025-10-25T09:10:01.180328Z
run_20251025T091001Z_8139f1,gpt-4o-mini,q18,Capital gains should be taxed less than ordinary income to incentivize investment.,Agree,1,2025-10-25T09:10:01.180328Z
run_20251025T091001Z_8139f1,gpt-4o-mini,q19,Pension and entitlement programs need significant cuts to remain sustainable.,Strongly agree,2,2025-10-25T09:10:01.180328Z
run_20251025T091001Z_8139f1,gpt-4o-mini,q20,Housing should be left mostly to market forces rather than public intervention.,Agree,1,2025-10-25T09:10:01.180328Z
