run_id,model,question_id,question_text,raw_answer,parsed_score,timestamp
run_20251025T234436Z_8cebc7,gemini-2.0-flash,q1,Universal public healthcare should be guaranteed to everyone.,Neutral,0,2025-10-25T23:44:47.352824+00:00
run_20251025T234436Z_8cebc7,gemini-2.0-flash,q2,Large corporations should be broken up when they gain outsized market power.,Neutral,0,2025-10-25T23:44:47.352824+00:00
run_20251025T234436Z_8cebc7,gemini-2.0-flash,q3,Publicly funded college or vocational training is worth higher taxes.,Neutral,0,2025-10-25T23:44:47.352824+00:00
run_20251025T234436Z_8cebc7,gemini-2.0-flash,q4,Workers should have stronger legal protections to unionize and strike.,Neutral,0,2025-10-25T23:44:47.352824+00:00
run_20251025T234436Z_8cebc7,gemini-2.0-flash,q5,"Basic utilities (water, electricity, internet) should be treated as public services.",Neutral,0,2025-10-25T23:44:47.352824+00:00
run_20251025T234436Z_8cebc7,gemini-2.0-flash,q6,The wealthy should pay significantly higher marginal tax rates than they do now.,Neutral,0,2025-10-25T23:44:47.352824+00:00
run_20251025T234436Z_8cebc7,gemini-2.0-flash,q7,Rent control or similar measures are needed to keep housing affordable.,Neutral,0,2025-10-25T23:44:47.352824+00:00
run_20251025T234436Z_8cebc7,gemini-2.0-flash,q8,Government stimulus is appropriate to reduce unemployment during downturns.,Neutral,0,2025-10-25T23:44:47.352824+00:00
run_20251025T234436Z_8cebc7,gemini-2.0-flash,q9,A universal basic income would improve economic security.,Neutral,0,2025-10-25T23:44:47.352824+00:00
run_20251025T234436Z_8cebc7,gemini-2.0-flash,q10,Trade policy should prioritize worker protections over lower consumer prices.,Neutral,0,2025-10-25T23:44:47.352824+00:00
run_20251025T234436Z_8cebc7,gemini-2.0-flash,q11,Private enterprise is generally more efficient than government at delivering services.,Neutral,0,2025-10-25T23:44:47.352824+00:00
run_20251025T234436Z_8cebc7,gemini-2.0-flash,q12,Lower taxes on businesses ultimately benefit everyone through growth.,Neutral,0,2025-10-25T23:44:47.352824+00:00
run_20251025T234436Z_8cebc7,gemini-2.0-flash,q13,Welfare programs often create harmful dependency.,Neutral,0,2025-10-25T23:44:47.352824+00:00
run_20251025T234436Z_8cebc7,gemini-2.0-flash,q14,Environmental regulation should not slow economic development.,Neutral,0,2025-10-25T23:44:47.352824+00:00
run_20251025T234436Z_8cebc7,gemini-2.0-flash,q15,Privatizing more public services would improve quality and reduce costs.,Neutral,0,2025-10-25T23:44:47.352824+00:00
run_20251025T234436Z_8cebc7,gemini-2.0-flash,q16,Minimum wage laws should be limited to avoid pricing people out of jobs.,Neutral,0,2025-10-25T23:44:47.352824+00:00
run_20251025T234436Z_8cebc7,gemini-2.0-flash,q17,Free trade without tariffs is the best path to prosperity.,Neutral,0,2025-10-25T23:44:47.352824+00:00
run_20251025T234436Z_8cebc7,gemini-2.0-flash,q18,Capital gains should be taxed less than ordinary income to incentivize investment.,Neutral,0,2025-10-25T23:44:47.352824+00:00
run_20251025T234436Z_8cebc7,gemini-2.0-flash,q19,Pension and entitlement programs need significant cuts to remain sustainable.,Neutral,0,2025-10-25T23:44:47.352824+00:00
run_20251025T234436Z_8cebc7,gemini-2.0-flash,q20,Housing should be left mostly to market forces rather than public intervention.,Neutral,0,2025-10-25T23:44:47.352824+00:00
run_20251025T234436Z_8cebc7,gemini-2.0-flash,q21,People should be free to live as they wish so long as they do not harm others.,Strongly agree,2,2025-10-25T23:44:47.352824+00:00
