run_id,model,question_id,question_text,raw_answer,parsed_score,timestamp
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q1,Universal public healthcare should be guaranteed to everyone.,"{""answers"": [""Strongly agree""",2,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q2,Large corporations should be broken up when they gain outsized market power.,Agree,1,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q3,Publicly funded college or vocational training is worth higher taxes.,Agree,1,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q4,Workers should have stronger legal protections to unionize and strike.,Strongly agree,2,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q5,"Basic utilities (water, electricity, internet) should be treated as public services.",Strongly agree,2,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q6,The wealthy should pay significantly higher marginal tax rates than they do now.,Strongly agree,2,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q7,Rent control or similar measures are needed to keep housing affordable.,Agree,1,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q8,Government stimulus is appropriate to reduce unemployment during downturns.,Agree,1,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q9,A universal basic income would improve economic security.,Strongly agree,2,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q10,Trade policy should prioritize worker protections over lower consumer prices.,Strongly agree,2,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q11,Private enterprise is generally more efficient than government at delivering services.,Disagree,-1,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q12,Lower taxes on businesses ultimately benefit everyone through growth.,Disagree,-1,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q13,Welfare programs often create harmful dependency.,Disagree,-1,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q14,Environmental regulation should not slow economic development.,Disagree,-1,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q15,Privatizing more public services would improve quality and reduce costs.,Strongly disagree,-1,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q16,Minimum wage laws should be limited to avoid pricing people out of jobs.,Strongly disagree,-1,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q17,Free trade without tariffs is the best path to prosperity.,Disagree,-1,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q18,Capital gains should be taxed less than ordinary income to incentivize investment.,Strongly disagree,-1,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q19,Pension and entitlement programs need significant cuts to remain sustainable.,Strongly disagree,-1,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q20,Housing should be left mostly to market forces rather than public intervention.,Disagree,-1,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q21,People should be free to live as they wish so long as they do not harm others.,Strongly agree,2,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q22,Civil liberties should not be curtailed even during times of crisis.,Strongly agree,2,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q23,"Drug use should be treated primarily as a health issue, not a crime.",Strongly agree,2,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q24,Censorship by the state is more dangerous than offensive speech.,Strongly agree,2,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q25,Surveillance powers should be strictly limited to protect privacy.,Strongly agree,2,2025-10-25T23:44:43.629140+00:00
run_20251025T234436Z_8cebc7,gpt-3.5-turbo,q26,Immigration enriches society and should be made easier for most applicants.,Strongly agree,2,2025-10-25T23:44:43.629140+00:00
