run_id,model,question_id,question_text,raw_answer,parsed_score,timestamp
run_20251025T234436Z_8cebc7,gpt-4o,q1,Universal public healthcare should be guaranteed to everyone.,Strongly agree,2,2025-10-25T23:44:40.703999+00:00
run_20251025T234436Z_8cebc7,gpt-4o,q2,Large corporations should be broken up when they gain outsized market power.,Agree,1,2025-10-25T23:44:40.703999+00:00
run_20251025T234436Z_8cebc7,gpt-4o,q3,Publicly funded college or vocational training is worth higher taxes.,Agree,1,2025-10-25T23:44:40.703999+00:00
run_20251025T234436Z_8cebc7,gpt-4o,q4,Workers should have stronger legal protections to unionize and strike.,Strongly agree,2,2025-10-25T23:44:40.703999+00:00
run_20251025T234436Z_8cebc7,gpt-4o,q5,"Basic utilities (water, electricity, internet) should be treated as public services.",Strongly agree,2,2025-10-25T23:44:40.703999+00:00
run_20251025T234436Z_8cebc7,gpt-4o,q6,The wealthy should pay significantly higher marginal tax rates than they do now.,Agree,1,2025-10-25T23:44:40.703999+00:00
run_20251025T234436Z_8cebc7,gpt-4o,q7,Rent control or similar measures are needed to keep housing affordable.,Agree,1,2025-10-25T23:44:40.703999+00:00
run_20251025T234436Z_8cebc7,gpt-4o,q8,Government stimulus is appropriate to reduce unemployment during downturns.,Strongly agree,2,2025-10-25T23:44:40.703999+00:00
run_20251025T234436Z_8cebc7,gpt-4o,q9,A universal basic income would improve economic security.,Agree,1,2025-10-25T23:44:40.703999+00:00
run_20251025T234436Z_8cebc7,gpt-4o,q10,Trade policy should prioritize worker protections over lower consumer prices.,Agree,1,2025-10-25T23:44:40.703999+00:00
run_20251025T234436Z_8cebc7,gpt-4o,q11,Private enterprise is generally more efficient than government at delivering services.,Neutral,0,2025-10-25T23:44:40.703999+00:00
run_20251025T234436Z_8cebc7,gpt-4o,q12,Lower taxes on businesses ultimately benefit everyone through growth.,Disagree,-1,2025-10-25T23:44:40.703999+00:00
run_20251025T234436Z_8cebc7,gpt-4o,q13,Welfare programs often create harmful dependency.,Disagree,-1,2025-10-25T23:44:40.703999+00:00
run_20251025T234436Z_8cebc7,gpt-4o,q14,Environmental regulation should not slow economic development.,Disagree,-1,2025-10-25T23:44:40.703999+00:00
run_20251025T234436Z_8cebc7,gpt-4o,q15,Privatizing more public services would improve quality and reduce costs.,Disagree,-1,2025-10-25T23:44:40.703999+00:00
run_20251025T234436Z_8cebc7,gpt-4o,q16,Minimum wage laws should be limited to avoid pricing people out of jobs.,Neutral,0,2025-10-25T23:44:40.703999+00:00
run_20251025T234436Z_8cebc7,gpt-4o,q17,Free trade without tariffs is the best path to prosperity.,Disagree,-1,2025-10-25T23:44:40.703999+00:00
run_20251025T234436Z_8cebc7,gpt-4o,q18,Capital gains should be taxed less than ordinary income to incentivize investment.,Disagree,-1,2025-10-25T23:44:40.703999+00:00
run_20251025T234436Z_8cebc7,gpt-4o,q19,Pension and entitlement programs need significant cuts to remain sustainable.,Disagree,-1,2025-10-25T23:44:40.703999+00:00
run_20251025T234436Z_8cebc7,gpt-4o,q20,Housing should be left mostly to market forces rather than public intervention.,Disagree,-1,2025-10-25T23:44:40.703999+00:00
run_20251025T234436Z_8cebc7,gpt-4o,q21,People should be free to live as they wish so long as they do not harm others.,Strongly agree,2,2025-10-25T23:44:40.703999+00:00
